"","x"
"1","B-cells"
"2","CD4+ T-cells"
"3","CD4+ T-cells"
"4","Monocytes"
"5","Monocytes"
"6","CD8+ T-cells"
"7","CD8+ T-cells"
"8","Monocytes"
"9","CD8+ T-cells"
"10","CD4+ T-cells"
"11","Monocytes"
"12","CD8+ T-cells"
"13","B-cells"
"14","CD8+ T-cells"
"15","CD4+ T-cells"
"16","Monocytes"
"17","CD8+ T-cells"
"18","CD4+ T-cells"
"19","Monocytes"
"20","CD8+ T-cells"
"21","Monocytes"
"22","CD8+ T-cells"
"23","Monocytes"
"24","B-cells"
"25","B-cells"
"26","NK cells"
"27","B-cells"
"28","CD4+ T-cells"
"29","CD4+ T-cells"
"30","Monocytes"
"31","Monocytes"
"32","CD8+ T-cells"
"33","CD8+ T-cells"
"34","NK cells"
"35",NA
"36","CD8+ T-cells"
"37","CD4+ T-cells"
"38","Monocytes"
"39",NA
"40","CD8+ T-cells"
"41","CD8+ T-cells"
"42","CD4+ T-cells"
"43","CD8+ T-cells"
"44","CD8+ T-cells"
"45","CD8+ T-cells"
"46","CD8+ T-cells"
"47","B-cells"
"48","B-cells"
"49","CD8+ T-cells"
"50","Monocytes"
"51","CD4+ T-cells"
"52","CD8+ T-cells"
"53","CD4+ T-cells"
"54","CD4+ T-cells"
"55","NK cells"
"56","Monocytes"
"57","CD8+ T-cells"
"58","CD8+ T-cells"
"59","CD8+ T-cells"
"60","CD4+ T-cells"
"61","Monocytes"
"62","CD8+ T-cells"
"63","CD4+ T-cells"
"64","CD8+ T-cells"
"65","CD8+ T-cells"
"66","B-cells"
"67","CD8+ T-cells"
"68","Monocytes"
"69","CD4+ T-cells"
"70","CD4+ T-cells"
"71","CD8+ T-cells"
"72","CD8+ T-cells"
"73","B-cells"
"74","CD4+ T-cells"
"75","CD8+ T-cells"
"76","Monocytes"
"77","CD8+ T-cells"
"78","CD8+ T-cells"
"79","Monocytes"
"80","Monocytes"
"81","CD8+ T-cells"
"82","CD8+ T-cells"
"83","Monocytes"
"84","CD8+ T-cells"
"85","Monocytes"
"86","CD8+ T-cells"
"87","CD4+ T-cells"
"88","CD8+ T-cells"
"89","Monocytes"
"90","B-cells"
"91","Monocytes"
"92","CD8+ T-cells"
"93","Monocytes"
"94","B-cells"
"95","CD4+ T-cells"
"96","CD8+ T-cells"
"97","B-cells"
"98","CD8+ T-cells"
"99","NK cells"
"100","CD8+ T-cells"
"101","CD8+ T-cells"
"102","CD8+ T-cells"
"103","Monocytes"
"104","CD8+ T-cells"
"105","CD4+ T-cells"
"106","CD4+ T-cells"
"107","CD4+ T-cells"
"108","B-cells"
"109","CD8+ T-cells"
"110","CD8+ T-cells"
"111","CD8+ T-cells"
"112","CD4+ T-cells"
"113","CD8+ T-cells"
"114","B-cells"
"115","CD8+ T-cells"
"116","B-cells"
"117","CD8+ T-cells"
"118","B-cells"
"119","NK cells"
"120","B-cells"
"121","CD8+ T-cells"
"122","CD4+ T-cells"
"123","CD8+ T-cells"
"124","Monocytes"
"125","CD8+ T-cells"
"126","CD4+ T-cells"
"127","Monocytes"
"128","Monocytes"
"129","CD8+ T-cells"
"130","CD8+ T-cells"
"131","B-cells"
"132","B-cells"
"133","CD4+ T-cells"
"134","CD8+ T-cells"
"135","CD8+ T-cells"
"136","Monocytes"
"137","CD8+ T-cells"
"138","CD4+ T-cells"
"139","Monocytes"
"140","Monocytes"
"141","CD8+ T-cells"
"142","NK cells"
"143","CD4+ T-cells"
"144","Monocytes"
"145","Monocytes"
"146","CD8+ T-cells"
"147","B-cells"
"148","B-cells"
"149","CD8+ T-cells"
"150","CD8+ T-cells"
"151","Monocytes"
"152","Monocytes"
"153","CD4+ T-cells"
"154","NK cells"
"155","Monocytes"
"156","B-cells"
"157","CD4+ T-cells"
"158","NK cells"
"159","CD8+ T-cells"
"160","CD8+ T-cells"
"161","CD4+ T-cells"
"162","CD8+ T-cells"
"163","B-cells"
"164","CD8+ T-cells"
"165","B-cells"
"166","B-cells"
"167","CD8+ T-cells"
"168","CD8+ T-cells"
"169","NK cells"
"170","CD8+ T-cells"
"171","CD8+ T-cells"
"172","CD8+ T-cells"
"173","Monocytes"
"174","CD8+ T-cells"
"175",NA
"176","CD8+ T-cells"
"177","CD4+ T-cells"
"178","B-cells"
"179","Monocytes"
"180","CD8+ T-cells"
"181","Monocytes"
"182","Monocytes"
"183","Monocytes"
"184","CD8+ T-cells"
"185","Monocytes"
"186","CD4+ T-cells"
"187","CD8+ T-cells"
"188","CD8+ T-cells"
"189","CD4+ T-cells"
"190","CD4+ T-cells"
"191","CD8+ T-cells"
"192","NK cells"
"193","Monocytes"
"194","CD8+ T-cells"
"195","Monocytes"
"196","Monocytes"
"197","CD4+ T-cells"
"198","CD8+ T-cells"
"199","CD8+ T-cells"
"200","CD8+ T-cells"
"201","CD4+ T-cells"
"202","CD8+ T-cells"
